# 批量对局结果 - 2026-05-21 16:20:03
# 总对局数: 20

场次,A队脚本,A队名称,B队脚本,B队名称,A队得分,B队得分,胜者,SuperStar获得者,时长(秒),记录时间
1,SM.MyTank,SM,WBQ.MyTank,WBQ,160,130,SM,SM,180.1,2026-05-21 16:08:27
2,SM.MyTank,SM,WBQ.MyTank,WBQ,135,150,WBQ,WBQ,179.8,2026-05-21 16:09:03
3,SM.MyTank,SM,WBQ.MyTank,WBQ,120,165,WBQ,WBQ,179.9,2026-05-21 16:09:40
4,SM.MyTank,SM,WBQ.MyTank,WBQ,175,95,SM,SM,179.9,2026-05-21 16:10:16
5,SM.MyTank,SM,WBQ.MyTank,WBQ,90,195,WBQ,WBQ,179.8,2026-05-21 16:10:53
6,SM.MyTank,SM,WBQ.MyTank,WBQ,155,105,SM,WBQ,179.9,2026-05-21 16:11:30
7,SM.MyTank,SM,WBQ.MyTank,WBQ,90,195,WBQ,WBQ,179.9,2026-05-21 16:12:06
8,SM.MyTank,SM,WBQ.MyTank,WBQ,105,150,WBQ,WBQ,179.9,2026-05-21 16:12:43
9,SM.MyTank,SM,WBQ.MyTank,WBQ,140,150,WBQ,WBQ,179.9,2026-05-21 16:13:20
10,SM.MyTank,SM,WBQ.MyTank,WBQ,115,130,WBQ,SM,179.8,2026-05-21 16:13:56
11,SM.MyTank,SM,WBQ.MyTank,WBQ,125,145,WBQ,SM,179.9,2026-05-21 16:14:33
12,SM.MyTank,SM,WBQ.MyTank,WBQ,125,175,WBQ,WBQ,179.9,2026-05-21 16:15:10
13,SM.MyTank,SM,WBQ.MyTank,WBQ,120,155,WBQ,WBQ,179.9,2026-05-21 16:15:46
14,SM.MyTank,SM,WBQ.MyTank,WBQ,135,135,WBQ,WBQ,179.8,2026-05-21 16:16:23
15,SM.MyTank,SM,WBQ.MyTank,WBQ,170,115,SM,SM,179.8,2026-05-21 16:17:00
16,SM.MyTank,SM,WBQ.MyTank,WBQ,60,210,WBQ,WBQ,179.8,2026-05-21 16:17:36
17,SM.MyTank,SM,WBQ.MyTank,WBQ,145,130,SM,WBQ,179.8,2026-05-21 16:18:13
18,SM.MyTank,SM,WBQ.MyTank,WBQ,70,170,WBQ,WBQ,179.9,2026-05-21 16:18:49
19,SM.MyTank,SM,WBQ.MyTank,WBQ,80,155,WBQ,WBQ,179.8,2026-05-21 16:19:26
20,SM.MyTank,SM,WBQ.MyTank,WBQ,60,195,WBQ,WBQ,179.9,2026-05-21 16:20:03
